districtnumber	margin	winning_party
145	1.2	Republican
20	3.2	Republican
48	3.3	Republican
146	3.3	Democratic
115	3.9	Democratic
16	5.8	Democratic
10	5.8	Republican
121	5.9	Democratic
133	7.1	Republican
21	7.2	Republican
116	8.2	Democratic
99	8.5	Democratic
15	8.8	Republican
135	10.2	Republican
106	11.5	Democratic
113	13.5	Democratic
3	14.1	Republican
112	14.4	Republican
143	15.1	Democratic
94	15.6	Republican
127	15.9	Democratic
126	16.3	Republican
110	16.8	Democratic
1	16.8	Democratic
105	17.1	Republican
19	17.5	Republican
5	18.3	Republican
12	18.4	Republican
101	18.9	Republican
4	19.0	Democratic
17	19.7	Republican
14	20.2	Republican
142	21.3	Democratic
138	21.9	Democratic
2	22.0	Republican
7	22.3	Republican
111	23.6	Democratic
46	24.7	Democratic
97	25.3	Democratic
124	25.3	Republican
123	27.0	Democratic
9	27.5	Republican
13	27.9	Democratic
8	27.9	Republican
73	28.6	Democratic
95	30.9	Democratic
98	31.3	Republican
140	32.0	Democratic
22	32.8	Democratic
125	35.3	Democratic
23	35.5	Democratic
109	36.8	Democratic
150	37.6	Republican
30	40.8	Democratic
103	44.4	Democratic
76	45.9	Democratic
63	46.0	Democratic
49	46.9	Democratic
27	47.1	Democratic
25	47.7	Democratic
40	48.1	Democratic
45	49.0	Democratic
104	53.0	Democratic
107	54.3	Republican
114	55.0	Republican
41	55.4	Democratic
147	56.9	Republican
65	57.3	Democratic
59	57.3	Democratic
38	59.4	Democratic
134	60.5	Republican
119	61.5	Democratic
44	62.3	Democratic
74	62.4	Democratic
88	63.5	Democratic
102	64.2	Republican
130	64.3	Republican
139	64.3	Republican
75	64.8	Democratic
24	65.3	Democratic
131	66.0	Republican
82	66.1	Democratic
64	67.4	Republican
120	68.0	Republican
67	68.4	Democratic
47	68.5	Democratic
117	69.7	Republican
148	70.5	Republican
52	71.8	Democratic
149	71.8	Democratic
108	72.1	Democratic
100	73.3	Democratic
144	73.5	Republican
80	73.6	Democratic
132	73.8	Republican
118	73.9	Republican
129	75.2	Democratic
96	75.4	Democratic
128	75.4	Democratic
136	75.5	Democratic
62	76.3	Republican
18	76.6	Democratic
141	76.6	Democratic
81	77.7	Democratic
51	78.0	Democratic
28	79.4	Democratic
57	79.5	Democratic
33	79.8	Democratic
36	79.9	Democratic
37	80.4	Democratic
69	80.6	Democratic
26	80.8	Democratic
68	82.1	Democratic
90	82.8	Democratic
42	83.1	Democratic
6	84.4	Democratic
66	84.6	Democratic
53	85.3	Democratic
39	85.5	Democratic
78	85.5	Democratic
43	86.1	Democratic
93	86.1	Democratic
91	86.5	Democratic
71	86.6	Democratic
56	86.6	Democratic
54	87.8	Democratic
70	88.1	Democratic
84	88.6	Democratic
85	89.5	Democratic
11	89.9	Democratic
89	91.0	Democratic
55	91.1	Democratic
87	92.2	Democratic
86	92.7	Democratic
60	93.0	Democratic
31	93.1	Democratic
79	94.0	Democratic
77	94.0	Democratic
29	95.2	Democratic
58	96.0	Democratic
32		Democratic
34		Democratic
35		Democratic
50		Democratic
61		Democratic
72		Democratic
83		Democratic
122		Republican
137		Democratic
