ed	margin	winning_party
87083	0.0	Democratic
23047	0.0	Democratic
51019	0.0	Conservative
49056	0.0	Democratic
55044	0.0	Democratic
63050	0.0	Democratic
46065	0.0	Democratic
49014	0.0	Conservative
48045	0.0	Democratic
46019	0.2	Democratic
45009	0.4	Republican
46073	0.5	Democratic
45071	0.6	Democratic
63024	0.7	Democratic
48061	0.7	Democratic
46042	0.7	Democratic
63064	0.8	Democratic
46030	0.8	Democratic
63065	0.9	Democratic
73045	0.9	Democratic
46048	0.9	Democratic
48058	1.0	Democratic
46038	1.0	Democratic
46052	1.0	Democratic
64088	1.0	Republican
63059	1.1	Democratic
63034	1.1	Democratic
48037	1.2	Democratic
30013	1.2	Democratic
73046	1.4	Democratic
23044	1.4	Democratic
42061	1.4	Democratic
64078	1.4	Republican
48019	1.5	Democratic
64083	1.5	Republican
40005	1.5	Republican
46019	1.5	Democratic
23007	1.5	Democratic
46060	1.5	Democratic
46064	1.5	Democratic
73052	1.6	Republican
48011	1.6	Democratic
73046	1.7	Republican
63022	1.7	Democratic
42063	1.8	Democratic
42064	1.8	Democratic
23045	2.1	Democratic
64080	2.1	Democratic
40006	2.2	Republican
48015	2.2	Democratic
46018	2.4	Democratic
63018	2.5	Democratic
46053	2.5	Democratic
48041	2.6	Democratic
73052	2.6	Republican
48042	2.6	Democratic
63029	2.8	Democratic
30017	2.8	Democratic
63060	2.8	Democratic
46050	2.9	Democratic
23049	2.9	Republican
46061	2.9	Republican
46021	3.1	Democratic
63067	3.2	Democratic
63055	3.2	Democratic
63031	3.4	Democratic
46065	3.5	Democratic
23003	3.6	Conservative
59054	3.6	Democratic
46060	3.8	Democratic
46025	3.9	Democratic
63074	3.9	Democratic
45059	4.0	Republican
63047	4.0	Democratic
46020	4.1	Democratic
27030	4.1	Democratic
30016	4.2	Democratic
59058	4.2	Democratic
46044	4.2	Democratic
46023	4.2	Democratic
63028	4.2	Democratic
45043	4.3	Democratic
45012	4.3	Republican
45033	4.3	Democratic
46025	4.3	Democratic
27057	4.4	Democratic
73067	4.4	Democratic
63027	4.4	Democratic
23023	4.4	Democratic
48060	4.5	Democratic
45058	4.5	Republican
66092	4.6	Democratic
46066	4.6	Republican
48055	4.7	Democratic
63053	4.7	Democratic
63023	4.7	Democratic
64079	4.7	Democratic
40007	4.9	Republican
42063	4.9	Democratic
23011	5.0	Democratic
48028	5.0	Democratic
46064	5.0	Democratic
45040	5.1	Democratic
27026	5.2	Democratic
41088	5.3	Republican
48008	5.3	Democratic
27027	5.4	Republican
41086	5.5	Republican
46057	5.5	Republican
45004	5.6	Republican
48054	5.6	Democratic
48013	5.7	Democratic
44041	5.7	Democratic
45053	5.8	Democratic
80003	5.8	Democratic
